台湾,#genre#
民視新聞台,https://winterxg.github.io/tvb/live/4gtv.php?channel=litv-ftv13
寰宇新聞台,https://winterxg.github.io/tvb/live/4gtv.php?channel=litv-longturn14
華視新聞資訊台,https://winterxg.github.io/tvb/live/4gtv.php?channel=4gtv-4gtv052
民視旅遊台,https://winterxg.github.io/tvb/live/4gtv.php?channel=litv-ftv07
i-Fun動漫台,https://winterxg.github.io/tvb/live/4gtv.php?channel=litv-ftv15
幸福空間居家台,https://winterxg.github.io/tvb/live/4gtv.php?channel=4gtv-live206
愛爾達娛樂台,https://winterxg.github.io/tvb/live/4gtv.php?channel=4gtv-4gtv070
民視台灣台,https://winterxg.github.io/tvb/live/4gtv.php?channel=4gtv-4gtv001
中視新聞台,https://winterxg.github.io/tvb/live/4gtv.php?channel=4gtv-4gtv074
影迷數位電影台,https://winterxg.github.io/tvb/live/4gtv.php?channel=4gtv-4gtv011
靖天日本台,https://winterxg.github.io/tvb/live/4gtv.php?channel=4gtv-4gtv047
龍華日韓台,https://winterxg.github.io/tvb/live/4gtv.php?channel=litv-longturn11
公視戲劇,https://winterxg.github.io/tvb/live/4gtv.php?channel=4gtv-4gtv042
民視無線台,https://winterxg.github.io/tvb/live/4gtv.php?channel=4gtv-4gtv002
CNEX紀實頻道,https://winterxg.github.io/tvb/live/4gtv.php?channel=4gtv-4gtv013
龍華電影台,https://winterxg.github.io/tvb/live/4gtv.php?channel=litv-longturn03
民視綜藝台,https://winterxg.github.io/tvb/live/4gtv.php?channel=4gtv-4gtv004
ELTV英語學習台,https://winterxg.github.io/tvb/live/4gtv.php?channel=litv-longturn20
中視無線台,https://winterxg.github.io/tvb/live/4gtv.php?channel=4gtv-4gtv040
民視第一台,https://winterxg.github.io/tvb/live/4gtv.php?channel=4gtv-4gtv003
半島電視台,https://winterxg.github.io/tvb/live/4gtv.php?channel=litv-ftv10
台湾2,#genre#
民視新聞台,https://winterxg.github.io/tvb/live/4gtv.php?channel=31
華視新聞,https://winterxg.github.io/tvb/live/4gtv.php?channel=34
原住民族電視台,https://winterxg.github.io/tvb/live/4gtv.php?channel=273
半島國際新聞台,https://winterxg.github.io/tvb/live/4gtv.php?channel=85
VOA美國之音,https://winterxg.github.io/tvb/live/4gtv.php?channel=86
新唐人亞太台,https://winterxg.github.io/tvb/live/4gtv.php?channel=223
國會頻道1,https://winterxg.github.io/tvb/live/4gtv.php?channel=170
國會頻道2,https://winterxg.github.io/tvb/live/4gtv.php?channel=171
豬哥亮歌廳秀,https://winterxg.github.io/tvb/live/4gtv.php?channel=113
金光布袋戲,https://winterxg.github.io/tvb/live/4gtv.php?channel=236
民視,https://winterxg.github.io/tvb/live/4gtv.php?channel=3
大愛電視,https://winterxg.github.io/tvb/live/4gtv.php?channel=209
滾動力rollor,https://winterxg.github.io/tvb/live/4gtv.php?channel=249
民視第一台,https://winterxg.github.io/tvb/live/4gtv.php?channel=1
民視台灣台,https://winterxg.github.io/tvb/live/4gtv.php?channel=2
民視綜藝台,https://winterxg.github.io/tvb/live/4gtv.php?channel=16
民視影劇台,https://winterxg.github.io/tvb/live/4gtv.php?channel=24
智林體育台,https://winterxg.github.io/tvb/live/4gtv.php?channel=58
時尚運動X,https://winterxg.github.io/tvb/live/4gtv.php?channel=69
民視旅遊台,https://winterxg.github.io/tvb/live/4gtv.php?channel=61
幸福空間居家台,https://winterxg.github.io/tvb/live/4gtv.php?channel=168
ARIRANG阿里郎頻道,https://winterxg.github.io/tvb/live/4gtv.php?channel=189
