台湾,#genre#
parse=1
民视新闻,video://https://m.4gtv.tv/channel/litv-ftv13?set=1&ch=31
民视,video://https://m.4gtv.tv/channel/4gtv-4gtv002?set=1&ch=3
民视第一台,video://https://m.4gtv.tv/channel/4gtv-4gtv003?set=1&ch=1
民视台湾台,video://https://m.4gtv.tv/channel/4gtv-4gtv001?set=1&ch=2
民视综艺,video://https://m.4gtv.tv/channel/4gtv-4gtv004?set=4&ch=16
民视旅游,video://https://m.4gtv.tv/channel/litv-ftv07?set=4&ch=61
民视影剧,video://https://m.4gtv.tv/channel/litv-ftv09?set=4&ch=24
中视,video://https://m.4gtv.tv/channel/4gtv-4gtv040?set=1&ch=4
中视新闻,video://https://m.4gtv.tv/channel/4gtv-4gtv074?set=4&ch=33
中视经典,video://https://m.4gtv.tv/channel/4gtv-4gtv080?set=1&ch=124
中视菁采台,video://https://m.4gtv.tv/channel/4gtv-4gtv064?set=1&ch=123
华视,video://https://m.4gtv.tv/channel/4gtv-4gtv041?set=1&ch=6

