litv,#genre#
Catchplay,http://8.210.88.135/litv/4g76.php?p=3
民视,http://8.210.88.135/litv/4g02.php?p=3
民视新闻台,http://8.210.88.135/litv/ftv13.php?p=3
民视第一台,http://8.210.88.135/litv/4g03.php?p=3
民视台湾台,http://8.210.88.135/litv/4g01.php?p=3
民视综艺台,http://8.210.88.135/litv/4g04.php?p=3
民视旅游,http://8.210.88.135/litv/ftv07.php?p=3
民视影剧,http://8.210.88.135/litv/ftv09.php?p=1
中视,http://8.210.88.135/litv/4g40.php?p=3
中视新闻,http://8.210.88.135/litv/4g74.php?p=3
中视菁采台,http://8.210.88.135/litv/4g64.php?p=3
中视经典,http://8.210.88.135/litv/4g80.php?p=3
华视,http://8.210.88.135/litv/4g41.php?p=3
公视戏剧,http://8.210.88.135/litv/4g42.php?p=3
台视,http://8.210.88.135/litv/4g66.php?p=3
台视新闻台,http://8.210.88.135/litv/4g51.php?p=3
台视财经台,http://8.210.88.135/litv/4g56.php?p=3
华视新闻资讯,http://8.210.88.135/litv/4g52.php?p=3
TVBS新闻台,http://8.210.88.135/litv/4g72.php?p=3
TVBS,http://8.210.88.135/litv/4g73.php?p=3
TVBS精采台,http://8.210.88.135/litv/4g67.php?p=3
TVBS欢乐台,http://8.210.88.135/litv/4g68.php?p=3
中天亚洲台,http://8.210.88.135/litv/4g109.php?p=3
中天新闻,http://8.210.88.135/litv/4g09.php?p=3
非凡新闻台,http://8.210.88.135/litv/4g10.php?p=3
非凡商业台,http://8.210.88.135/litv/4g48.php?p=3
寰宇新闻,http://8.210.88.135/litv/litv2.php?id=14
寰宇新聞台湾台,http://8.210.88.135/litv/litv3.php?id=15
爱尔达娱乐台,http://8.210.88.135/litv/4g70.php?p=3
影迷数位电影,http://8.210.88.135/litv/4g11.php?p=3
龙华电影,http://8.210.88.135/litv/litv.php?id=03
龙华动画,http://8.210.88.135/litv/litv.php?id=01
龙华日韩,http://8.210.88.135/litv/litv.php?id=11
龙华偶像,http://8.210.88.135/litv/litv.php?id=12
龙华经典,http://8.210.88.135/litv/021.php?p=3
龙华戏剧,http://8.210.88.135/litv/018.php?p=3
靖天欢乐台,http://8.210.88.135/litv/4g54.php?p=3
靖天映画,http://8.210.88.135/litv/4g55.php?p=3
靖天戏剧,http://8.210.88.135/litv/4g58.php?p=3
靖天电影台,http://8.210.88.135/litv/4g61.php?p=3
靖天育乐台,http://8.210.88.135/litv/4g62.php?p=3
靖天国际,http://8.210.88.135/litv/4g63.php?p=3
靖天资讯台,http://8.210.88.135/litv/4g65.php?p=3
靖天卡通台,http://8.210.88.135/litv/4g44.php?p=3
靖天综合台,http://8.210.88.135/litv/4g46.php?p=3
靖天日本台,http://8.210.88.135/litv/4g47.php?p=3
靖洋卡通台,http://8.210.88.135/litv/4g57.php?p=3
靖洋戏剧台,http://8.210.88.135/litv/4g45.php?p=3
博斯魅力网,http://8.210.88.135/litv/litv.php?id=04
博斯高球1台,http://8.210.88.135/litv/litv.php?id=05
博斯高球2台,http://8.210.88.135/litv/litv.php?id=06
博斯运动一台,http://8.210.88.135/litv/litv.php?id=07
博斯运动二台,http://8.210.88.135/litv/litv.php?id=08
博斯网球台,http://8.210.88.135/litv/litv.php?id=09
博斯无限台,http://8.210.88.135/litv/litv.php?id=10
博斯无限二台,http://8.210.88.135/litv/litv.php?id=13
smtv,#genre#
中天新闻,http://8.210.88.135/smtv.php?id=ctinews
中天综合,http://8.210.88.135/smtv.php?id=ctizhonghe
中天娱乐,http://8.210.88.135/smtv.php?id=ctient
中天亚洲台,http://8.210.88.135/smtv.php?id=ctiasia_twn
TVBS,http://8.210.88.135/smtv.php?id=tvbs
TVBS新闻台,http://8.210.88.135/smtv.php?id=tvbs_n
TVBS欢乐台,http://8.210.88.135/smtv.php?id=tvbshuanle_twn
八大第一台,http://8.210.88.135/smtv.php?id=badafirst
八大综合台,http://8.210.88.135/smtv.php?id=badazhonghe
八大戏剧台,http://8.210.88.135/smtv.php?id=badadrama
東森LIVE,http://8.210.88.135/smtv.php?id=ettvnews
東森戏剧,http://8.210.88.135/smtv.php?id=ettvdrama
東森电影,http://8.210.88.135/smtv.php?id=ettvmovie
东森幼幼,http://8.210.88.135/smtv.php?id=yoyo_twn
东森洋片,http://8.210.88.135/smtv.php?id=ettvwestern
东森超视,http://8.210.88.135/smtv.php?id=ettvsuper
东森综合,http://8.210.88.135/smtv.php?id=ettvzhonghe
卫视电影台,http://8.210.88.135/smtv.php?id=weishimovie_twn
国语星河,http://8.210.88.135/smtv.php?id=Xinhe_mega
HBO,http://8.210.88.135/smtv.php?id=hbohd_twn
HBO HITS,http://8.210.88.135/smtv.php?id=hbohead_twn
HBO-原创,http://8.210.88.135/smtv.php?id=hbosignature_twn
HBO家庭,http://8.210.88.135/smtv.php?id=fyi_twn
动物星球,http://8.210.88.135/smtv.php?id=animalplanet_twn
探索科学,http://8.210.88.135/smtv.php?id=discoverysc_twn
探索频道,http://8.210.88.135/smtv.php?id=ba86fcd935
探索频道,http://8.210.88.135/smtv.php?id=discoveryhd_twn
探索,http://8.210.88.135/smtv.php?id=discoverych_twn
探索亚洲,http://8.210.88.135/smtv.php?id=discoverytwn_twn
国家地理野生,http://8.210.88.135/smtv.php?id=natgeowild_twn
国家地理,http://8.210.88.135/smtv.php?id=natgeohd_twn
NBA,http://8.210.88.135/smtv.php?id=nbatv_twn
Channel 8,http://8.210.88.135/smtv.php?id=Channel8HD
博斯运动2,http://8.210.88.135/smtv.php?id=bosisport2_twn
博斯高球1,http://8.210.88.135/smtv.php?id=bosigolf1_twn
博斯高球2,http://8.210.88.135/smtv.php?id=bosigolf2_twn
博斯网球,http://8.210.88.135/smtv.php?id=bositennis_twn
ELEVEN 1,http://8.210.88.135/smtv.php?id=golfchannel_twn
ELEVEN 1,http://8.210.88.135/smtv.php?id=bs181_japan
ELEVEN2,http://8.210.88.135/smtv.php?id=bsfuji_japan
EYE戏剧,http://8.210.88.135/smtv.php?id=eyetvxiju_twn
EYE旅游,http://8.210.88.135/smtv.php?id=eyetvtravel_twn
oters,#genre#
