Live TV,#genre#
parse=1
A&E,https://thetvapp.to/tv/ae-live-stream/  
AMC,https://thetvapp.to/tv/amc-live-stream/  
American Heroes Channel,https://thetvapp.to/tv/american-heroes-channel-live-stream/  
Animal Planet,https://thetvapp.to/tv/animal-planet-live-stream/  
BBC America,https://thetvapp.to/tv/bbc-america-live-stream/  
BBC World News HD,https://thetvapp.to/tv/bbc-world-news-hd-live-stream/  
BET,https://thetvapp.to/tv/bet-live-stream/  
BET Her,https://thetvapp.to/tv/bet-her-live-stream/  
Bloomberg TV,https://thetvapp.to/tv/bloomberg-tv-live-stream/  
Boomerang,https://thetvapp.to/tv/boomerang-live-stream/  
Bravo,https://thetvapp.to/tv/bravo-live-stream/  
Cartoon Network,https://thetvapp.to/tv/cartoon-network-live-stream/ 
CBS Sports Network,https://thetvapp.to/tv/cbs-sports-network-live-stream/  
Cinemax,https://thetvapp.to/tv/cinemax-live-stream/  
CMT,https://thetvapp.to/tv/cmt-live-stream/  
CNBC,https://thetvapp.to/tv/cnbc-live-stream/  
CNN,https://thetvapp.to/tv/cnn-live-stream/  
Comedy Central,https://thetvapp.to/tv/comedy-central-live-stream/  
Cooking Channel,https://thetvapp.to/tv/cooking-channel-live-stream/  
Crime&Investigation HD,https://thetvapp.to/tv/crime-investigation-hd-live-stream/  
CSPAN,https://thetvapp.to/tv/cspan-live-stream/  
CSPAN 2,https://thetvapp.to/tv/cspan-2-live-stream/  
Destination America,https://thetvapp.to/tv/destination-america-live-stream/  
Discovery,https://thetvapp.to/tv/discovery-live-stream/  
Discovery Family Channel,https://thetvapp.to/tv/discovery-family-channel-live-stream/  
Discovery Life,https://thetvapp.to/tv/discovery-life-live-stream/  
Disney Channel (East),https://thetvapp.to/tv/disney-channel-east-live-stream/  
Disney Junior,https://thetvapp.to/tv/disney-junior-live-stream/  
Disney XD,https://thetvapp.to/tv/disney-xd-live-stream/  
E!,https://thetvapp.to/tv/e-live-stream/  
ESPN,https://thetvapp.to/tv/espn-live-stream/  
ESPN2,https://thetvapp.to/tv/espn2-live-stream/  
ESPNews,https://thetvapp.to/tv/espnews-live-stream/  
ESPNU,https://thetvapp.to/tv/espnu-live-stream/  
Food Network,https://thetvapp.to/tv/food-network-live-stream/  
Fox Business Network,https://thetvapp.to/tv/fox-business-network-live-stream/  
FOX News Channel,https://thetvapp.to/tv/fox-news-channel-live-stream/  
FOX Sports 1,https://thetvapp.to/tv/fox-sports-1-live-stream/  
FOX Sports 2,https://thetvapp.to/tv/fox-sports-2-live-stream/  
Freeform,https://thetvapp.to/tv/freeform-live-stream/  
Fuse HD,https://thetvapp.to/tv/fuse-hd-live-stream/  
FX,https://thetvapp.to/tv/fx-live-stream/  
FX Movie,https://thetvapp.to/tv/fx-movie-live-stream/  
FXX,https://thetvapp.to/tv/fxx-live-stream/  
FYI,https://thetvapp.to/tv/fyi-live-stream/  
Golf Channel,https://thetvapp.to/tv/golf-channel-live-stream/  
Hallmark,https://thetvapp.to/tv/hallmark-live-stream/  
Hallmark Drama HD,https://thetvapp.to/tv/hallmark-drama-hd-live-stream/  
Hallmark Movies&Mysteries HD,https://thetvapp.to/tv/hallmark-movies-mysteries-hd-live-stream/  
HBO 2 East,https://thetvapp.to/tv/hbo-2-east-live-stream/  
HBO Comedy HD,https://thetvapp.to/tv/hbo-comedy-hd-live-stream/  
